split,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
train,1,5.2725,3.9578,2.3504,3.8178,2.6223,2.7785,2.4363,1.3153,3.293,2.7944,3.2644,3.8008,2.6712,2.8408,3.3695,1.629
train,0,1.318,-1.3548,-0.2848,-0.6187,0.1098,-1.3076,-1.1344,-0.0635,-0.5971,0.8171,-0.2346,0.1574,-0.3683,0.6034,0.9144,-0.0666
train,1,4.1461,2.1017,3.4573,2.9903,3.4641,4.6111,2.6136,2.2822,1.9068,3.8362,3.9609,2.544,3.7897,4.0026,2.9861,4.042
train,2,6.6742,5.7204,6.9316,5.4972,6.4399,6.242,3.9288,4.8532,5.1403,7.0803,4.55,6.7017,6.8388,6.3803,6.5179,5.6193
train,1,1.7085,2.6117,2.5878,2.5803,3.2481,3.0314,1.3989,3.5435,2.8077,3.9247,3.4824,3.3485,3.394,3.1469,3.298,3.0939
train,2,5.7649,6.3645,6.376,6.9187,6.8107,5.1938,6.489,5.7426,5.3828,7.179,5.5162,5.3434,5.6865,5.3448,6.7741,6.2922
train,0,0.9407,0.574,0.3858,-2.3439,-1.5332,1.1205,0.1278,-0.1306,-0.4756,1.0642,-0.3216,0.7636,-0.3763,-1.4711,0.0858,0.1291
train,0,0.8529,1.0668,1.2396,0.7852,-0.8816,0.4616,-0.8647,-0.5373,-0.5967,-0.9066,-0.6396,1.1491,-0.062,1.2597,0.1156,-1.379
train,1,2.4146,2.1766,2.7227,2.0141,2.3673,3.7517,2.9085,3.604,2.6574,2.869,3.7979,0.9546,3.6587,3.9138,1.1931,4.2982
train,0,-0.2895,-0.2882,-0.5219,-0.1455,0.106,-0.6104,-1.0286,-0.809,1.3263,-0.9277,0.8568,-1.0948,-0.7318,-0.1324,-0.2167,-0.8359
train,1,3.4052,4.7181,3.6455,2.5374,3.3334,4.3731,4.1589,3.1946,4.4437,3.1405,4.0261,2.3814,2.6596,3.4643,1.7594,4.2253
train,1,4.0572,2.619,3.0988,3.6015,2.934,3.8507,3.0629,3.5355,3.0661,1.8541,2.2288,5.454,3.2163,4.0159,3.8824,4.3291
train,1,3.4157,2.8771,2.8934,3.3274,4.622,3.0401,3.0012,3.7023,1.4567,1.7191,3.0618,3.2544,3.3136,1.4698,2.9776,2.755
train,1,3.6594,4.4555,3.6721,2.9781,3.3845,3.0595,3.1087,2.9823,3.3887,2.7588,2.9682,2.6389,3.5924,4.0577,3.6147,3.3913
train,2,5.653,4.3831,6.2053,5.9736,6.1369,7.4113,5.9175,5.7936,5.4195,5.9826,5.6588,6.1593,8.43,6.306,5.3335,7.5015
train,0,2.0481,-0.5649,-0.0567,-0.0091,0.1628,0.9842,-0.6729,-0.7461,0.9821,-0.0408,1.0717,-1.6989,1.8778,0.9916,1.2922,-1.7059
train,0,-0.0745,-0.6344,0.277,0.5628,0.2158,0.0998,-0.8181,-0.045,-0.7117,-0.2644,1.2186,0.0812,-0.5733,-0.8224,-1.1677,-0.3698
train,2,5.8375,5.2088,5.6532,6.7584,6.7802,5.866,5.3822,6.5418,7.7832,8.2417,7.094,6.0361,6.5487,5.726,5.4032,5.5005
train,0,0.5397,-1.0501,0.9525,0.578,1.2418,0.2666,-0.8491,0.5707,-0.3442,-0.7933,-0.4346,-0.7676,-0.8002,-0.425,-0.5425,-0.721
train,1,0.8316,1.5797,3.1101,4.122,2.9672,2.22,2.8116,2.2224,1.9129,2.819,2.6885,2.3671,2.3096,2.2749,3.1842,4.0861
train,1,2.8818,4.5297,3.4632,2.4234,2.1198,2.4453,3.2953,2.9989,3.0347,2.2396,3.1363,3.4675,2.2038,3.8941,3.6776,3.9636
train,0,-0.9521,-1.1587,1.2655,-0.9941,0.7551,0.2105,0.7283,-1.284,0.331,0.3229,-0.0035,0.3726,-0.8959,1.1306,-0.8706,-0.1175
train,0,-0.1037,0.6546,-0.3675,0.1292,-0.8592,-0.97,0.441,0.859,0.4228,0.0157,-1.1726,0.0828,-0.6984,-0.6788,0.1944,-0.5791
train,2,6.3161,6.991,6.4689,6.178,5.8727,5.3717,5.733,6.5321,6.1766,5.6977,4.9616,4.8049,6.2509,6.8008,6.2916,4.9293
train,1,4.1165,2.3909,2.834,3.1645,3.0412,0.884,2.0073,3.4598,2.9748,3.5902,3.247,2.6587,1.3781,1.5044,3.6287,2.154
train,0,-0.3618,-0.617,1.2131,0.5781,-0.7099,0.6717,-1.7213,0.0368,0.0081,-0.182,-0.7443,-0.4907,-1.4875,0.3603,-0.7798,0.4619
train,0,-0.8644,0.3433,-1.4888,-0.1105,-0.6302,-1.1529,-0.1877,0.1334,-0.4337,-0.9192,0.1653,-1.3613,0.4164,0.3819,1.3056,0.6875
train,0,-1.553,0.0298,0.1886,0.86,0.2395,-0.4775,-0.817,1.37,-1.2621,-0.4134,0.244,-0.3658,-0.2139,0.1416,-0.4925,-0.502
train,0,-0.0874,-0.01,0.6395,-0.0456,-0.0537,0.6912,-0.05,1.5824,-0.8989,-0.3281,-0.2273,0.1246,-0.5393,1.513,0.5058,-1.4935
train,1,2.856,3.4001,3.3068,4.1216,4.0655,2.5185,2.8899,2.5724,3.6629,2.6904,1.7933,3.3388,2.334,1.8915,3.299,3.016
train,2,6.0954,5.8079,6.1628,6.8448,6.1676,6.5221,7.0833,5.8155,4.928,6.7187,6.1541,6.5167,6.6719,7.4311,6.3081,6.306
train,0,0.3687,-0.8625,1.2737,0.1139,-0.0385,-0.4775,0.233,1.2558,-0.012,-1.4396,-0.4597,-0.1011,0.2184,-1.2492,-0.891,-0.0912
train,0,0.4194,-1.9186,-1.0088,0.5992,-0.0829,1.7372,-0.1818,-0.4269,1.1567,0.4301,1.4695,0.3946,-0.1576,0.5605,-0.6098,-0.3456
train,2,5.8682,5.3241,5.949,7.0079,6.426,7.8826,5.7062,5.5004,6.7034,5.8848,6.3696,6.5511,5.3067,4.9822,6.1454,6.4304
train,0,-1.0906,0.5144,1.1308,0.989,1.3049,1.2587,1.8939,-0.0461,-0.6541,-0.1092,-0.7694,1.0883,-1.8437,0.04,0.7684,0.5082
train,1,2.1845,2.4247,3.3729,3.2315,2.7756,4.6766,3.324,2.5258,3.1827,2.9063,1.2975,1.7827,1.926,4.5954,2.8579,2.7866
train,1,2.4603,3.7405,2.6352,3.668,4.1665,3.9606,3.4649,1.8041,1.7264,3.3702,3.36,3.3093,2.8305,3.1344,4.0202,3.2593
train,1,2.743,2.6607,2.3415,2.6487,2.167,3.836,3.2513,3.4182,3.6702,2.7421,3.8913,1.6394,2.549,3.0563,4.3657,3.9158
test,0,0.3634,0.5211,-0.6849,-0.1807,0.0263,1.0367,0.5942,0.1608,0.6205,-0.2042,-2.238,-0.8104,1.0808,-0.7012,-0.5781,-0.1284
test,0,1.9081,0.1817,-1.4119,0.1031,-1.1049,-0.5234,0.1731,1.3209,0.3566,0.5153,0.7847,0.1544,-0.6605,-0.0755,0.2594,-0.2132
test,2,6.1208,6.5854,6.1498,5.0522,6.625,4.6531,6.6506,6.3215,6.4541,6.3216,6.0709,5.5094,5.8892,6.3163,6.0616,4.9308
test,0,1.8951,0.1284,-0.696,0.4297,0.5101,0.315,-0.1229,-1.1994,0.4274,0.598,0.338,0.4105,0.136,0.7044,2.7197,-0.4136
test,1,3.9496,3.2294,2.8542,3.2652,2.771,2.8258,3.172,2.8089,2.453,3.6157,1.7568,1.2674,1.748,2.283,1.6257,3.0643
test,1,3.9938,4.1264,4.6014,2.3324,2.9521,1.4886,3.3441,1.9881,1.6276,3.5906,3.3474,1.4192,2.383,4.9416,1.1056,2.618
test,0,1.2729,0.5799,0.4302,-1.2622,0.3408,-0.4851,-0.8756,-0.5375,0.7518,-0.728,1.5337,-0.6838,1.1226,0.3664,-0.8867,0.6894
test,1,3.3744,2.274,3.9933,3.6052,3.3759,2.3757,1.7405,2.1456,3.0202,2.9268,2.8551,3.01,4.1242,3.9371,2.0493,3.5332
test,1,3.6115,3.7969,3.6939,3.3992,2.7988,3.0437,1.7156,5.1463,3.6447,4.5506,2.169,3.5463,3.029,3.5578,2.4584,2.4436
test,0,-0.5534,0.4598,0.2824,0.3934,-0.8766,1.1821,1.4996,-1.3739,-0.252,0.6537,1.0081,-0.9929,-1.2364,-0.979,0.7809,-0.1579
test,0,0.4968,0.0011,0.8288,-0.2984,0.2217,-0.5661,-0.2212,0.2953,-1.5065,-0.5176,-0.7749,-0.0677,1.5266,-0.7347,-0.1596,-0.2749
test,2,5.6928,6.5496,5.806,6.6548,5.6917,4.8215,7.3453,5.4459,7.0854,6.4273,4.774,6.0513,7.6217,6.1841,6.3072,5.7395
test,1,1.7371,3.4303,4.0016,2.1831,2.9998,2.7861,2.8024,3.3867,4.6127,2.5091,3.6551,3.8393,2.7809,2.8853,1.9658,3.8316
test,2,7.1169,5.8742,6.0715,7.3756,6.9952,6.1628,5.7193,6.1842,7.0868,5.647,3.834,6.0954,4.8968,7.3294,5.3191,7.3532
test,1,3.6522,1.7372,2.748,3.3597,1.3692,2.8356,3.6869,4.1155,3.3307,3.6077,3.6348,3.2218,1.4508,4.4013,3.5005,2.8786
test,1,3.704,2.4268,1.6677,1.7376,2.0073,3.6923,2.5464,3.5359,3.243,2.1283,4.3877,4.1847,2.3233,2.3423,2.6041,3.2574
test,1,3.6224,3.1764,1.8522,2.7383,3.4764,2.3276,3.7073,3.3686,2.8362,2.2142,3.584,1.5511,3.6332,3.6029,3.9834,3.0727
test,2,5.3168,5.6968,6.5842,5.7684,6.0127,6.3042,4.7225,5.5978,5.6395,5.2575,6.138,5.6367,5.5969,7.0781,7.1103,5.7686
test,2,6.6007,6.5489,6.7691,4.8149,6.4298,5.3151,5.2749,6.0009,6.8351,5.053,6.8101,7.0232,4.4315,6.9458,5.8665,6.5375
test,2,6.7561,6.3326,4.4365,5.979,5.4813,5.0864,5.1408,6.5944,5.7698,7.527,6.3656,4.517,6.6947,6.9709,6.0244,5.0576
test,1,4.0611,2.2169,3.4992,1.9558,3.307,2.7069,2.6451,1.8036,2.5117,2.5837,3.9921,3.4465,3.2873,2.4294,3.1309,3.5543
test,0,-0.6603,0.8008,0.2474,-0.209,0.9552,0.1409,1.4309,1.3752,0.1746,0.8677,0.0764,-0.8673,-2.2003,-0.0466,-0.9081,-0.5783
test,0,1.4533,0.3693,0.4383,0.3651,-0.5012,-0.53,-0.5056,0.9056,0.285,1.392,0.39,1.4795,0.3581,-0.9261,1.3628,0.2643
test,0,0.2355,-0.5865,-1.4011,1.4116,-0.0515,0.3426,0.6055,0.5164,0.7873,-0.2313,-0.8262,-1.432,0.7257,0.2598,-1.1487,-0.2307
test,1,3.8218,3.3955,3.5872,3.6555,2.4844,1.8547,2.298,3.2056,3.2995,3.7552,2.8931,3.5148,2.9153,2.0397,2.508,3.1998
test,2,5.94,4.623,6.4055,7.2801,6.3521,5.4293,6.0388,5.8322,5.9262,4.9,6.7441,6.074,4.6779,6.7496,5.1643,4.9692
test,2,5.9351,6.7469,6.5843,6.969,6.6825,5.9634,6.4774,6.1362,4.9479,7.3518,6.2959,5.1696,6.3044,6.2275,6.7876,7.1415
test,1,2.6688,3.0292,2.6334,3.5971,4.7483,1.684,3.5763,2.2065,2.9938,3.794,2.2903,3.9292,3.4842,2.7995,2.74,4.4464
test,2,4.8022,6.5028,4.9083,6.9729,6.2329,5.6399,6.5534,6.0449,5.3288,5.6011,7.5043,6.0863,6.2005,5.1297,7.6159,6.4503
test,2,7.3561,5.1851,5.4595,6.8703,4.6699,6.3258,6.08,5.945,6.2114,6.7182,6.2659,5.7522,7.3838,4.6607,5.0308,6.3835
test,2,5.2999,4.3719,6.0763,4.9632,5.6938,4.4384,6.5665,7.0148,7.5684,4.1493,5.8136,5.1186,6.7988,5.2558,6.6911,6.636
test,1,3.5454,3.2269,3.5746,2.9524,1.9013,3.8824,3.5074,1.9857,2.9882,2.7768,4.8179,4.2155,3.0725,2.7892,3.5658,3.1787
test,0,0.0381,-0.2376,-0.9861,-0.3634,-0.1991,0.1199,-0.8948,0.1829,1.3004,-0.3648,0.2664,-0.2429,0.6102,0.7691,-0.5277,-0.4705
test,2,6.3865,4.3654,6.0466,5.973,6.6064,5.1807,6.4097,5.1481,5.2157,5.2649,6.0984,5.6938,6.9469,6.3358,5.7952,6.7781
test,0,-0.5088,-0.2011,0.3648,0.8787,0.2854,-0.4672,-0.3393,-1.2599,-1.0808,-2.0176,-0.2583,-0.2211,-1.1946,-0.1484,0.5034,0.31
test,0,0.541,0.3423,-0.2435,0.6241,-1.0476,0.0386,-0.2655,0.4499,0.21,0.1135,-0.5593,-1.2465,0.1776,0.7691,1.8058,-0.1852
test,2,4.9395,4.5675,5.845,4.5808,7.3015,5.2066,5.9585,5.8048,5.3442,4.5865,4.5114,6.6917,6.8167,7.7303,4.8304,6.4484
test,1,3.3632,1.495,3.7728,3.1392,3.2502,3.4062,4.1036,2.6158,1.8982,3.1865,3.0278,1.6673,2.3369,4.2821,3.9906,3.0821
test,1,3.201,4.656,3.6278,2.6595,3.1768,1.6297,4.0957,2.0915,2.6311,2.9248,3.3168,2.3824,2.4657,2.4522,0.9795,2.5179
test,0,0.0635,0.2573,-0.3102,-0.5133,1.6074,-0.9196,-1.3749,-0.1634,-0.7832,-0.8499,0.2675,1.315,0.9534,-0.8335,-0.3648,0.1678
test,0,-0.8482,-0.7071,0.9754,1.6837,-0.1704,0.7782,-1.1088,1.7058,1.3453,0.8748,-0.7016,-0.8605,-0.732,-1.0913,0.1904,0.2362
test,0,-0.231,-0.6406,0.274,0.1164,0.7546,0.0691,0.2453,0.3051,-2.1124,0.0838,-0.2446,-0.5908,0.061,-0.497,0.5499,0.4
test,1,2.838,2.5339,4.6375,2.8898,3.5722,2.3197,2.7603,3.4877,1.9314,3.907,3.4294,3.3399,2.5721,3.5832,1.9057,1.9072
test,0,0.3879,-0.264,-0.5743,-0.8956,-0.2673,-0.4284,0.224,0.2838,0.7816,-0.0853,-0.5988,-0.8489,0.049,0.2887,1.5585,0.1455
test,0,0.69,-0.2932,-0.4809,-0.1305,-0.8915,0.9569,-0.3313,0.3506,-0.8423,-1.3878,0.4055,-0.2601,0.1258,-1.852,1.1364,0.2174
test,0,0.1244,-1.562,0.0969,1.6881,-0.008,0.0981,0.6312,0.4562,-0.4437,0.4764,-0.9112,0.1585,0.7852,0.6486,-0.8138,0.0401
test,1,2.5097,3.0634,3.104,3.8555,3.2209,3.203,2.4211,3.6896,3.938,2.6052,3.5111,3.2465,2.9626,1.9715,4.4052,1.5077
test,1,4.4782,4.2236,2.4149,2.9079,3.7651,4.4052,3.078,3.3239,2.8256,4.8082,1.7419,3.3152,3.7844,3.3962,2.7758,3.4939
test,2,6.0731,5.7084,5.7383,5.1304,5.9561,6.9539,4.9832,4.9501,6.9408,5.3402,5.921,5.8111,5.1798,4.8942,5.7756,5.6236
test,1,3.8844,4.1408,4.2377,2.5595,3.4783,2.4016,3.4149,2.7092,3.1563,4.0686,3.2696,2.8082,3.0446,3.2117,2.5917,3.1646
test,0,-0.233,0.6543,0.0927,0.2813,0.4748,0.0753,-0.5864,0.7096,0.7087,0.311,0.7962,-1.0499,-0.2583,-0.4886,0.4344,-0.2912
test,1,3.9391,6.0126,2.4481,3.1544,3.6842,2.8299,2.3883,3.4047,2.9157,2.8496,2.6658,3.3386,3.0067,2.9875,2.5179,2.6136
test,1,2.0044,3.1573,2.5292,3.407,2.4081,2.7565,1.4819,3.8847,3.4313,2.9959,2.4209,4.2066,3.4144,3.7292,4.296,3.7149
test,1,2.9792,4.0394,3.0773,3.4508,2.9272,0.9046,2.9157,2.653,1.6391,3.5831,4.6957,2.6485,4.2094,3.5741,3.1978,3.3892
test,0,-1.5286,-0.2855,0.4086,-1.0906,-0.3971,-0.032,0.046,1.1712,-1.2315,-0.7419,1.6483,-1.2172,0.1121,0.2977,0.8317,-0.6241
test,0,1.2719,-1.5484,-0.5116,-0.6466,0.5941,-0.1674,0.5439,-1.1179,1.1345,0.4253,0.1673,0.6936,0.7609,-0.4176,-0.7252,1.1423
test,2,6.6891,5.4282,5.0413,7.9033,6.3421,5.9529,6.9839,5.8185,5.6513,6.2499,5.9867,5.23,5.797,5.2445,5.2382,6.0271
test,0,-1.0495,-1.2653,0.7242,0.6232,0.8282,-0.7342,-0.546,-0.7166,-0.689,0.2043,-0.7095,-0.1961,0.0368,-0.6942,0.4625,-1.1394
test,2,5.7874,5.5764,4.5995,7.4969,6.1599,4.4884,5.2879,5.1159,5.4174,3.9998,6.4515,7.287,5.8069,6.5838,6.4715,5.0232
test,2,6.7548,5.2465,6.0444,6.1318,4.7441,5.7205,5.9572,6.3019,6.4932,6.0147,5.9763,5.933,6.0788,6.623,5.4284,3.7081
